NAME_CONTRACT_TYPE,FLAG_OWN_CAR,FLAG_OWN_REALTY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,WEEKDAY_APPR_PROCESS_START,ORGANIZATION_TYPE,y_true,y_pred
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Married,Municipal apartment,FRIDAY,Business Entity Type 3,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,WEDNESDAY,Medicine,0,0
Cash loans,Y,N,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,FRIDAY,Business Entity Type 3,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,THURSDAY,Self-employed,0,0
Cash loans,N,N,Unaccompanied,State servant,Secondary / secondary special,Married,Municipal apartment,WEDNESDAY,Government,0,0
Cash loans,N,N,Unaccompanied,Working,Secondary / secondary special,Married,Municipal apartment,TUESDAY,Other,1,1
Revolving loans,N,N,Unaccompanied,Commercial associate,Higher education,Married,With parents,SATURDAY,Business Entity Type 3,0,0
Cash loans,Y,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Married,With parents,WEDNESDAY,Industry: type 3,0,0
Cash loans,N,Y,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,TUESDAY,Business Entity Type 3,0,0
Cash loans,Y,N,Family,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,Business Entity Type 3,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,TUESDAY,Self-employed,0,0
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,TUESDAY,Business Entity Type 3,0,0
Cash loans,Y,N,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,Self-employed,0,0
Cash loans,N,N,Family,Pensioner,Secondary / secondary special,Married,House / apartment,TUESDAY,XNA,0,0
Cash loans,N,N,Unaccompanied,Pensioner,Higher education,Married,House / apartment,MONDAY,XNA,0,0
Cash loans,N,Y,Children,Pensioner,Lower secondary,Widow,House / apartment,TUESDAY,XNA,0,0
Cash loans,N,N,Unaccompanied,Commercial associate,Incomplete higher,Married,House / apartment,MONDAY,Business Entity Type 1,0,0
Cash loans,N,Y,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,TUESDAY,XNA,0,0
Cash loans,N,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,MONDAY,Business Entity Type 2,0,0
Cash loans,N,Y,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,FRIDAY,XNA,0,0
Cash loans,N,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,SATURDAY,Self-employed,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,SUNDAY,Kindergarten,0,0
Cash loans,Y,N,Family,Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Housing,0,0
Cash loans,N,Y,Unaccompanied,Pensioner,Higher education,Married,House / apartment,SATURDAY,XNA,0,0
Cash loans,N,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,TUESDAY,Self-employed,0,0
Cash loans,Y,Y,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Industry: type 11,0,0
Cash loans,N,N,Unaccompanied,Working,Higher education,Married,Municipal apartment,MONDAY,School,0,0
Cash loans,N,Y,Unaccompanied,Pensioner,Higher education,Widow,House / apartment,WEDNESDAY,XNA,0,0
Cash loans,N,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Widow,House / apartment,MONDAY,Self-employed,0,0
Revolving loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,MONDAY,Medicine,1,1
Cash loans,N,N,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Medicine,0,0
Revolving loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,SUNDAY,Business Entity Type 2,0,0
Revolving loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,MONDAY,Industry: type 9,0,0
Cash loans,N,Y,Unaccompanied,Commercial associate,Higher education,Widow,House / apartment,SATURDAY,Other,0,0
Cash loans,N,Y,Unaccompanied,State servant,Higher education,Married,House / apartment,THURSDAY,Police,0,0
Cash loans,N,N,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,TUESDAY,XNA,0,0
Revolving loans,Y,Y,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,SATURDAY,Self-employed,1,1
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,MONDAY,Agriculture,0,0
Cash loans,Y,N,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Business Entity Type 3,0,0
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Industry: type 3,0,0
Cash loans,N,Y,Family,Working,Secondary / secondary special,Married,House / apartment,SATURDAY,Self-employed,0,0
Cash loans,N,Y,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,SATURDAY,XNA,0,0
Cash loans,Y,Y,"Spouse, partner",Pensioner,Lower secondary,Married,House / apartment,WEDNESDAY,XNA,0,0
Cash loans,N,Y,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,THURSDAY,XNA,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,Government,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,TUESDAY,Construction,0,0
Cash loans,Y,N,Unaccompanied,State servant,Higher education,Married,With parents,TUESDAY,Government,0,0
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,THURSDAY,Construction,0,0
Cash loans,N,Y,Unaccompanied,Working,Higher education,Separated,House / apartment,SATURDAY,Police,0,0
Cash loans,N,N,Family,Working,Secondary / secondary special,Married,House / apartment,MONDAY,Medicine,0,0
Cash loans,N,Y,Unaccompanied,State servant,Incomplete higher,Single / not married,Municipal apartment,WEDNESDAY,Police,0,0
Cash loans,N,Y,Family,Working,Secondary / secondary special,Single / not married,House / apartment,SATURDAY,Medicine,0,0
Cash loans,N,N,Unaccompanied,Working,Higher education,Married,House / apartment,FRIDAY,Self-employed,0,0
Cash loans,N,N,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,With parents,THURSDAY,Security,0,0
Cash loans,Y,N,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,FRIDAY,Trade: type 3,0,0
Cash loans,Y,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,FRIDAY,Trade: type 3,0,0
Cash loans,Y,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,SATURDAY,Business Entity Type 3,0,0
Cash loans,Y,Y,Family,Working,Secondary / secondary special,Married,With parents,TUESDAY,Construction,1,1
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Single / not married,With parents,MONDAY,Business Entity Type 3,0,0
Cash loans,Y,Y,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,MONDAY,XNA,0,0
Cash loans,N,Y,Unaccompanied,Commercial associate,Higher education,Single / not married,With parents,FRIDAY,Business Entity Type 3,0,0
Cash loans,Y,Y,"Spouse, partner",Pensioner,Higher education,Married,House / apartment,TUESDAY,XNA,0,0
Cash loans,N,Y,Family,Pensioner,Secondary / secondary special,Married,House / apartment,MONDAY,XNA,0,0
Cash loans,N,N,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,Self-employed,0,0
Revolving loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Business Entity Type 1,0,0
Revolving loans,N,N,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,TUESDAY,Government,0,0
Cash loans,N,N,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,THURSDAY,Trade: type 7,0,0
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Married,Municipal apartment,MONDAY,Other,0,0
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,TUESDAY,Self-employed,0,0
Revolving loans,N,N,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,Government,0,0
Cash loans,N,Y,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,THURSDAY,Industry: type 11,1,1
Revolving loans,Y,N,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,FRIDAY,Business Entity Type 3,0,0
Revolving loans,N,Y,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Business Entity Type 1,0,0
Cash loans,N,N,Unaccompanied,Working,Secondary / secondary special,Widow,Municipal apartment,TUESDAY,Self-employed,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,SATURDAY,Trade: type 7,0,0
Cash loans,N,N,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,MONDAY,Business Entity Type 1,0,0
Cash loans,Y,N,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,THURSDAY,Government,0,0
Cash loans,Y,Y,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,THURSDAY,Business Entity Type 3,1,1
Cash loans,N,N,Family,Commercial associate,Secondary / secondary special,Separated,House / apartment,MONDAY,Business Entity Type 3,1,1
Cash loans,Y,Y,Unaccompanied,Working,Higher education,Married,House / apartment,TUESDAY,Trade: type 3,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Married,With parents,WEDNESDAY,Other,0,0
Cash loans,N,Y,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,SATURDAY,XNA,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,THURSDAY,Security,0,0
Cash loans,Y,Y,Unaccompanied,Working,Higher education,Married,House / apartment,TUESDAY,Self-employed,0,0
Cash loans,N,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,SATURDAY,Business Entity Type 3,0,0
Cash loans,Y,N,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,MONDAY,Self-employed,0,0
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Self-employed,0,0
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,Self-employed,0,0
Cash loans,N,N,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,FRIDAY,Business Entity Type 3,0,0
Cash loans,Y,Y,Family,Working,Secondary / secondary special,Married,House / apartment,THURSDAY,Medicine,0,0
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,TUESDAY,Business Entity Type 3,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,SATURDAY,Business Entity Type 3,0,0
Cash loans,N,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,With parents,FRIDAY,Business Entity Type 3,1,1
Cash loans,Y,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,MONDAY,Business Entity Type 3,0,0
Cash loans,N,N,Children,Working,Secondary / secondary special,Married,House / apartment,THURSDAY,Business Entity Type 3,0,0
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,SUNDAY,Government,0,0
Cash loans,N,N,Children,Pensioner,Lower secondary,Married,House / apartment,FRIDAY,XNA,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,FRIDAY,Business Entity Type 3,1,1
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,THURSDAY,Transport: type 4,0,0
Revolving loans,N,N,Unaccompanied,State servant,Secondary / secondary special,Single / not married,Municipal apartment,WEDNESDAY,Medicine,0,0
Revolving loans,N,Y,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,THURSDAY,School,0,0
Cash loans,N,N,Unaccompanied,Pensioner,Secondary / secondary special,Separated,House / apartment,FRIDAY,XNA,0,0
Revolving loans,N,Y,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,WEDNESDAY,Business Entity Type 3,0,0
Cash loans,N,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,FRIDAY,Business Entity Type 3,0,0
Cash loans,Y,Y,Unaccompanied,Working,Higher education,Married,House / apartment,THURSDAY,Business Entity Type 3,0,0
Cash loans,N,N,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,WEDNESDAY,XNA,0,0
Revolving loans,N,Y,Unaccompanied,State servant,Higher education,Married,Municipal apartment,MONDAY,Military,0,0
Cash loans,N,Y,Unaccompanied,Commercial associate,Higher education,Civil marriage,House / apartment,FRIDAY,Transport: type 4,0,0
Cash loans,Y,Y,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,SATURDAY,XNA,0,0
Cash loans,N,Y,Unaccompanied,Pensioner,Secondary / secondary special,Married,Municipal apartment,SUNDAY,XNA,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Business Entity Type 2,0,0
Cash loans,N,N,Unaccompanied,Working,Higher education,Single / not married,House / apartment,WEDNESDAY,Industry: type 9,0,0
Cash loans,N,N,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,SATURDAY,Housing,0,0
Cash loans,N,Y,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,THURSDAY,XNA,0,0
Cash loans,N,Y,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,MONDAY,Self-employed,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,Government,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,TUESDAY,Trade: type 7,1,1
Cash loans,N,Y,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,THURSDAY,Government,0,0
Cash loans,N,Y,Family,Working,Secondary / secondary special,Civil marriage,House / apartment,SUNDAY,Government,0,0
Cash loans,Y,N,Unaccompanied,Working,Higher education,Married,House / apartment,SATURDAY,Business Entity Type 1,0,0
Cash loans,Y,Y,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,MONDAY,Other,0,0
Revolving loans,Y,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,SUNDAY,Business Entity Type 3,0,0
Revolving loans,Y,Y,Unaccompanied,Working,Higher education,Single / not married,House / apartment,FRIDAY,Business Entity Type 3,0,0
Cash loans,Y,N,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,MONDAY,XNA,0,0
Cash loans,Y,Y,Family,Working,Higher education,Married,House / apartment,MONDAY,Business Entity Type 3,0,0
Cash loans,N,N,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,TUESDAY,XNA,0,0
Revolving loans,N,N,"Spouse, partner",Commercial associate,Secondary / secondary special,Married,With parents,MONDAY,Business Entity Type 3,0,0
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,SATURDAY,School,0,0
Cash loans,N,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,SATURDAY,Security,0,0
Revolving loans,N,Y,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,MONDAY,Industry: type 11,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,SUNDAY,Industry: type 11,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,SUNDAY,Self-employed,0,0
Cash loans,Y,N,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,Business Entity Type 1,0,0
Revolving loans,Y,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,WEDNESDAY,Self-employed,0,0
Cash loans,Y,Y,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,THURSDAY,School,0,0
Cash loans,N,Y,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,FRIDAY,Medicine,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,TUESDAY,Business Entity Type 3,0,0
Cash loans,Y,N,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,MONDAY,Self-employed,0,0
Revolving loans,N,N,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,SUNDAY,Business Entity Type 2,0,0
Cash loans,N,N,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,MONDAY,Business Entity Type 3,0,0
Cash loans,N,N,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,Office apartment,MONDAY,Business Entity Type 2,0,0
Cash loans,Y,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,TUESDAY,Trade: type 7,0,0
Revolving loans,N,N,Family,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,TUESDAY,Business Entity Type 3,0,0
Cash loans,Y,Y,Unaccompanied,Pensioner,Higher education,Married,House / apartment,SATURDAY,XNA,0,0
Cash loans,N,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,SUNDAY,Business Entity Type 2,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,MONDAY,Self-employed,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,MONDAY,Business Entity Type 3,0,0
Cash loans,Y,N,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,MONDAY,Industry: type 11,0,0
Cash loans,N,N,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,MONDAY,Business Entity Type 3,0,0
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,THURSDAY,Trade: type 7,0,0
Cash loans,Y,Y,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,WEDNESDAY,XNA,0,0
Cash loans,N,N,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,FRIDAY,XNA,0,0
Cash loans,N,Y,"Spouse, partner",Working,Secondary / secondary special,Civil marriage,House / apartment,TUESDAY,Other,0,0
Cash loans,N,Y,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,THURSDAY,Trade: type 7,1,1
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,TUESDAY,Business Entity Type 3,0,0
Revolving loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,THURSDAY,Business Entity Type 2,0,0
Cash loans,Y,Y,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,SATURDAY,XNA,0,0
Cash loans,N,N,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,MONDAY,Business Entity Type 3,1,1
Cash loans,Y,N,Unaccompanied,Working,Incomplete higher,Married,House / apartment,THURSDAY,Business Entity Type 3,0,0
Cash loans,N,Y,Unaccompanied,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,MONDAY,XNA,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,THURSDAY,Medicine,0,0
Cash loans,N,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Widow,House / apartment,THURSDAY,Transport: type 2,0,0
Cash loans,Y,Y,Family,Pensioner,Secondary / secondary special,Married,Municipal apartment,THURSDAY,XNA,0,0
Cash loans,Y,Y,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,TUESDAY,Transport: type 4,0,0
Cash loans,Y,Y,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,TUESDAY,Other,0,0
Cash loans,Y,Y,Unaccompanied,Working,Higher education,Married,House / apartment,MONDAY,Business Entity Type 3,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,TUESDAY,Other,0,0
Cash loans,N,Y,Unaccompanied,Pensioner,Higher education,Separated,House / apartment,TUESDAY,XNA,0,0
